,var1(t-7),var2(t-7),var3(t-7),var4(t-7),var5(t-7),var1(t-6),var2(t-6),var3(t-6),var4(t-6),var5(t-6),var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var1(t),var2(t),var3(t),var4(t),var5(t)
338,1.0,10970.33,0.1938386233269598,0.0581790057361376,58958.0,1.0,11730.0,0.1910347786055076,0.0611253452749644,57470.0,0.0,11356.76,0.1815404630081184,0.0722752804153877,81814.0,1.0,11941.0,0.1789690959824776,0.0735878064148339,76406.0,0.0,11720.03,0.1872999481208208,0.0723882003689186,76287.0,1.0,11915.36,0.1781125548726953,0.0720289727831431,65996.0,0.0,11289.0,0.1792270977412871,0.0768651585868565,67931.0,1,11505.03,0.2006543299908842,0.0677825341841385,62379.0
354,1.0,10784.86,0.1811545131901503,0.0691377556620687,64375.0,0.0,10046.47,0.1786280190004683,0.0763971030976115,68567.0,1.0,10137.21,0.1789438598850304,0.0765987494537264,70090.0,1.0,10418.85,0.1775044896527534,0.0809395650648895,66526.0,0.0,10081.84,0.1791268731640203,0.0797297066151043,62478.0,0.0,9998.0,0.1826223192836863,0.0732916794059838,54072.0,1.0,10254.95,0.1881670598709103,0.0640105942577342,54485.0,0,10135.34,0.1808466551152629,0.0689941615187584,65367.0
389,0.0,8650.0,0.1846039422501496,0.0633511370436864,66469.0,0.0,8580.0,0.1759632150137905,0.0810076747811488,81359.0,0.0,8075.42,0.1720075243845796,0.0794516178975073,76116.0,1.0,8242.95,0.1737799704658343,0.0780195328231977,70832.0,0.0,8132.02,0.1733854097268487,0.0766170701014138,63877.0,0.0,8050.0,0.1906996964904031,0.0638331124695421,53762.0,1.0,8253.08,0.1847435083951581,0.0680789242483404,50258.0,1,8318.26,0.1727506416584402,0.0724539782823297,60580.0
420,1.0,8600.29,0.1818535169386527,0.0746736167651952,71917.0,1.0,9250.0,0.1786462553148749,0.0752645552244802,74341.0,1.0,9578.25,0.1806059904541427,0.072646974763497,86189.0,0.0,9459.03,0.189685191652842,0.0605860036671614,55974.0,1.0,9463.13,0.1802870095070293,0.0631355210512792,65056.0,0.0,9231.39,0.1832523605811847,0.0610967356534474,62152.0,0.0,9127.5,0.1794943641169154,0.0670024486940298,59961.0,1,9204.47,0.188142142829879,0.0633509675941829,62621.0
311,1.0,12347.17,0.1843906443362759,0.0657123587162775,57548.0,1.0,12562.12,0.1783865005519634,0.07069720864217,72603.0,0.0,11935.45,0.1819700189200989,0.0657885024013971,79064.0,0.0,11296.44,0.1785672608991653,0.0698547870596838,90203.0,1.0,11805.25,0.1784267004404018,0.0730016982815693,122824.0,0.0,11032.97,0.1746551686812195,0.086726375608876,110973.0,0.0,10637.4,0.1784753377828422,0.0745861956698681,70130.0,1,10737.18,0.172560523145758,0.0749774221304422,66456.0
219,1.0,5151.86,0.1588904109589041,0.0395479452054794,924.0,1.0,5282.62,0.1735533980582524,0.0397038834951456,935.0,0.0,5217.96,0.18003738317757,0.0369345794392523,1129.0,1.0,5295.31,0.1559584775086505,0.0419965397923875,1051.0,0.0,5025.0,0.1571701492537313,0.0356358208955223,1073.0,1.0,5061.91,0.1486687697160883,0.0473880126182965,1074.0,1.0,5074.63,0.1577882352941176,0.0410274509803921,985.0,1,5106.51,0.1608588235294117,0.0528862745098039,945.0
148,1.0,3563.41,0.1798921607016994,0.0688847991228757,30096.0,0.0,3541.0,0.1859704058857568,0.0748609572621311,28039.0,0.0,3434.59,0.1825442786927653,0.0721826334396826,27893.0,0.0,3395.81,0.1123101265822784,0.0587658227848101,861.0,1.0,3440.36,0.1300949367088607,0.0483417721518987,827.0,0.0,3420.52,0.1094999999999999,0.0454147727272727,940.0,1.0,3442.75,0.1216776315789473,0.0437565789473684,833.0,0,3436.21,0.1090785714285714,0.0506428571428571,795.0
79,1.0,5540.8,0.1113119266055046,0.0528073394495412,789.0,0.0,4801.39,0.1147762237762237,0.0423776223776223,947.0,0.0,4237.2,0.1114874371859296,0.0478743718592964,1133.0,1.0,4465.06,0.1109306122448979,0.0499591836734693,1092.0,0.0,4410.6,0.1200990566037735,0.0592358490566037,1008.0,0.0,4320.0,0.1190315789473684,0.0503421052631579,995.0,0.0,3700.06,0.1162138728323699,0.0440693641618497,903.0,1,3953.81,0.1193783783783783,0.0466162162162162,933.0
413,0.0,7953.45,0.1743556326084498,0.0748492066483247,62450.0,1.0,7959.0,0.1756081107814046,0.0787095548961424,58988.0,1.0,8212.4,0.1801827220398648,0.0703143047428761,51224.0,1.0,8214.63,0.1837664276885043,0.0641759208899876,50095.0,0.0,8095.0,0.1788686321265987,0.0710729243442445,57710.0,0.0,7433.14,0.1817608085573677,0.0671878228332045,58838.0,1.0,7442.89,0.1697209138615128,0.0816225841546141,71949.0,1,8600.29,0.1818535169386527,0.0746736167651952,71917.0
437,0.0,8709.3,0.177421632448673,0.0660886329494241,50808.0,1.0,8770.27,0.1772587445530561,0.0687025477957052,64025.0,0.0,8746.45,0.1798795011628839,0.0647487769668778,63453.0,0.0,8647.04,0.1796883980727412,0.0676369334413507,57852.0,0.0,8503.74,0.1796745116497999,0.0692036557621401,57564.0,0.0,8469.2,0.1760002478826688,0.0702550299524891,56993.0,1.0,8545.36,0.1783591196895425,0.0705954350490195,46589.0,0,8200.74,0.1827508744855966,0.0720990226337448,48266.0
240,0.0,5138.42,0.1703168316831683,0.0462937293729373,970.0,0.0,5130.24,0.1661413427561837,0.0423498233215547,957.0,1.0,5256.33,0.1749623655913978,0.0405376344086021,1177.0,1.0,5295.17,0.1716428571428571,0.0337807881773399,1174.0,1.0,5400.16,0.1629059829059829,0.0461196581196581,1162.0,1.0,5693.79,0.1726441558441558,0.042451948051948,1210.0,1.0,5776.6,0.1710065789473684,0.043188596491228,1364.0,0,5745.56,0.1689794344473008,0.0447095115681233,1166.0
368,1.0,10700.45,0.1746771355342183,0.0753758463716001,68266.0,0.0,10672.0,0.1745397521317361,0.0709188732005385,118922.0,0.0,10555.04,0.1787235231908143,0.0684186055295362,66202.0,0.0,10417.69,0.1800813430738971,0.0725838367518966,65381.0,1.0,10542.7,0.1794911797474622,0.0806185318148056,77657.0,0.0,10420.7,0.1812497910669514,0.0723317392515553,55736.0,0.0,10289.11,0.1822632398753894,0.0670902010761823,53451.0,0,10089.31,0.1825980073118797,0.0635747057169258,62736.0
